ABLEAK,ABTRG,BELTRG,BFORC,DUR,DV,EV1,EV2,EV3,PDOF_H,PMAXF,SABPR,SCFRC,Chest Deflection [mm],HIC 15,Head Acc,Neck Force_z [kN]
0.580094278,16.65701675,12.85568428,0.00158245,140.7815247,46.19347382,0.01,0.01,0.01,7.085261345,2.416492939,0.00128933,0.01119411,-26.118248,84.476776,0.41280109,0.41131851
0.843233585,20.75887108,12.04288769,0.00175307,82.53543091,51.03450394,0.01,0.01,0.01,-5.080446243,1.083059549,0.00167934,0.01207546,-54.91692,595.54813,0.95801497,1.8207675
1.415342808,17.05900002,14.47560883,0.00080683,84.93648529,42.92181015,0.01,0.01,0.01,-5.698578358,2.449919224,0.00160945,0.01171891,-38.933163,135.56097,0.4680596,0.88846147
0.608098805,22.52157021,7.931197643,0.00140772,85.43766785,49.98002625,0.01,0.01,0.01,4.467216015,1.761951089,0.00127138,0.00639607,-47.762882,433.48854,0.6879437,1.3212835
1.145983934,22.44872665,10.7631588,0.00112564,103.8864746,40.92848206,0.01,0.01,0.01,6.756375313,2.078292131,0.00164795,0.0098712,-35.904945,120.20181,0.48418772,0.49396005
1.194051862,17.72426033,14.03512764,0.00170519,128.5391846,50.34576797,0.01,0.01,0.01,-1.777071953,2.427181482,0.00164365,0.00706593,-28.25367,329.1896,0.81634778,0.52890676
0.901727498,19.8609848,14.42200565,0.00094345,97.30038452,58.41597366,0.01,0.01,0.01,2.196581364,1.537068725,0.00117451,0.01029256,-37.874683,186.49851,0.47983781,1.124437
1.03508985,18.62752342,14.66405678,0.00135328,134.5944519,49.40601349,0.01,0.01,0.01,-7.913926601,2.458764791,0.00144388,0.01070408,-26.920174,108.22999,0.50184298,0.42024657
0.511493504,20.43634987,11.20817757,0.00136273,128.7958527,59.5703392,0.01,0.01,0.01,-0.722047806,2.247478485,0.00156237,0.01000159,-37.140968,198.52645,0.61917025,0.88765478
0.596335948,19.36915398,5.18478632,0.0014792,83.34355164,52.27496719,0.01,0.01,0.01,-1.281552076,2.27629447,0.00125036,0.01048416,-48.475513,371.12409,0.71108627,1.5689385
0.515615106,21.90092087,13.42211246,0.0010937,101.8937531,54.14076233,0.01,0.01,0.01,-8.071266174,1.838283539,0.00138133,0.01097263,-43.115173,335.43929,0.67166042,1.1082236
0.537908137,20.10854912,6.298424244,0.00176994,85.91080475,51.34309006,0.01,0.01,0.01,8.929549217,2.039273262,0.00120094,0.00951641,-44.320839,301.61094,0.6164766,1.1677926
0.64666748,21.8798008,9.035739899,0.00077817,121.111557,51.92311859,0.01,0.01,0.01,-7.793435574,1.459257841,0.00153147,0.0084512,-35.491463,198.97768,0.65628159,0.84804589
0.681407154,20.04184341,9.419880867,0.00168095,79.37515259,55.81162643,0.01,0.01,0.01,3.831690311,1.271139503,0.00110231,0.01095359,-54.943508,511.5315,0.7923227,1.7328341
0.948275924,17.10056496,7.008133411,0.00073086,140.1519623,46.29244995,0.01,0.01,0.01,-3.872971296,1.558334708,0.00148928,0.00982495,-23.136055,92.053931,0.46420196,0.38227126
1.340710878,17.27781677,12.76012135,0.00121065,98.62328339,41.18040085,0.01,0.01,0.01,4.244824409,2.286835194,0.00143938,0.00798944,-33.266876,85.088054,0.43642879,0.28338987
0.983977139,21.54066658,6.878266335,0.00102697,86.56983185,45.89718628,0.01,0.01,0.01,2.762380362,2.166929245,0.00167498,0.01162731,-40.925354,427.72358,0.90944767,1.0533445
1.182095766,22.66685486,9.732374191,0.00157049,105.7458649,54.84778214,0.01,0.01,0.01,-3.252005816,2.268334866,0.00115367,0.00731963,-39.658997,176.17599,0.48138833,0.80453151
0.760209143,22.07682991,14.51124573,0.00176659,134.2319031,50.54263306,0.01,0.01,0.01,5.556317806,1.813063502,0.00152146,0.00829122,-30.722839,100.45745,0.41883227,0.63340342
1.110476732,18.92472839,14.61993694,0.00087915,132.9273376,55.53761292,0.01,0.01,0.01,-1.377439499,1.593713284,0.00149455,0.00596667,-30.045624,120.38929,0.45601317,0.55511719
1.445185542,17.62425423,6.703973293,0.00103282,77.51989746,44.93119049,0.01,0.01,0.01,-8.522139549,1.921076775,0.00128183,0.00910841,-35.568497,184.59361,0.56799132,0.76960766
1.350935817,22.61461639,7.858940601,0.00169238,141.5309601,41.03636551,0.01,0.01,0.01,6.06192112,1.751227975,0.00122361,0.01173645,-22.245399,68.028836,0.3601211,0.15600948
