ABLEAK,ABTRG,BELTRG,BFORC,DUR,DV,EV1,EV2,EV3,PDOF_H,PMAXF,SABPR,SCFRC,Chest Deflection [mm],HIC 15,Head Acc,Neck Force_z [kN]
0.689782381,22.20307159,8.099788666,0.00117903,100,60,0.01,0.01,0.01,0,1.238096356,0.00125919,0.00709769,-45.763062,421.50849,0.64524347,1.3603569
0.862390339,17.04596329,12.95136833,0.0016875,100,60,0.01,0.01,0.01,0,1.892920375,0.00137598,0.01197605,-44.466537,347.09638,0.69118953,1.0604175
0.573543787,17.42597389,13.17316723,0.00098431,100,60,0.01,0.01,0.01,0,1.05102551,0.00129802,0.00914904,-44.655224,451.71133,0.74720645,1.3044189
0.751178682,19.74072075,9.648993492,0.00178057,100,60,0.01,0.01,0.01,0,1.432756066,0.00158168,0.01112728,-47.849945,432.96063,0.78351134,1.4079726
0.885799944,17.70973396,7.784317017,0.00076631,100,60,0.01,0.01,0.01,0,1.728906751,0.00114356,0.01008301,-33.7995,446.49902,1.0086234,1.0762252
0.782344818,17.88800049,12.59706211,0.00089949,100,60,0.01,0.01,0.01,0,2.2589252,0.0015554,0.0113696,-39.943306,360.26384,0.8334924,1.058871
0.654882908,21.14957237,10.87121964,0.00138799,100,60,0.01,0.01,0.01,0,1.021885276,0.00168615,0.00849308,-52.071884,538.87702,0.89380145,1.7486831
0.705399573,19.98568916,9.932828903,0.00142969,100,60,0.01,0.01,0.01,0,1.931363344,0.00127844,0.00935817,-45.061848,346.95478,0.64530677,1.1333684
0.724481702,18.55856514,11.31683826,0.00175705,100,60,0.01,0.01,0.01,0,2.434570551,0.0011935,0.00610666,-42.898678,359.41085,0.76744318,0.82269132
0.593911111,21.89204407,11.04186153,0.00113328,100,60,0.01,0.01,0.01,0,1.747582793,0.0016104,0.00906247,-48.926735,571.22298,1.0049343,1.4198145
1.108764052,18.85421371,11.43199158,0.00094887,100,60,0.01,0.01,0.01,0,1.311382055,0.00112743,0.00832283,-33.788536,197.66957,0.5331915,0.98904717
1.480572224,18.25164223,9.086902618,0.00120853,100,60,0.01,0.01,0.01,0,1.610515356,0.00125066,0.00665726,-38.733795,175.51758,0.53687519,0.74503696
1.215171337,19.36469841,11.61670589,0.00094076,100,60,0.01,0.01,0.01,0,1.394420385,0.00143595,0.00783338,-39.75,234.61746,0.56070393,1.0204725
1.009969354,22.71967697,5.761952877,0.00086689,100,60,0.01,0.01,0.01,0,1.272642255,0.00166885,0.01095645,-42.607006,462.31292,0.91933042,1.3834158
0.957309127,19.79698753,13.32006073,0.00173106,100,60,0.01,0.01,0.01,0,2.049451113,0.00148206,0.00647385,-46.550449,409.73484,0.70952129,1.008244
1.346624494,20.25735855,6.399207115,0.0008187,100,60,0.01,0.01,0.01,0,2.441896915,0.00141276,0.00921097,-33.948021,194.89662,0.63659817,0.90697366
1.382535458,16.39825249,12.19773006,0.00108145,100,60,0.01,0.01,0.01,0,1.479066372,0.00163722,0.01119357,-37.957985,182.07128,0.60686243,0.9664948
0.669860005,17.34542656,7.875761509,0.00102715,100,60,0.01,0.01,0.01,0,2.397145748,0.00132023,0.00813608,-37.278069,283.03381,0.61457539,1.1878273
1.408140063,16.12771225,14.37788868,0.00067473,100,60,0.01,0.01,0.01,0,1.591734529,0.00141116,0.00738454,-33.125343,174.0908,0.60644335,1.0384035
0.625460744,21.85738373,14.60334969,0.00119361,100,60,0.01,0.01,0.01,0,2.018663406,0.00110789,0.00599962,-42.25943,356.25591,0.60503185,1.1712935
1.331489205,20.81886482,8.553521156,0.00166654,100,60,0.01,0.01,0.01,0,2.499846458,0.00156673,0.00700954,-42.088245,231.48693,0.67743456,0.84817195
1.225113153,22.48792076,12.2043581,0.0010984,100,60,0.01,0.01,0.01,0,2.203123331,0.00160066,0.00675003,-42.163734,306.32515,0.65905273,1.0271069
1.023355126,20.34852219,8.708090782,0.00126505,100,60,0.01,0.01,0.01,0,2.298337936,0.00133387,0.00818264,-40.752979,224.20937,0.71303636,0.92223728
0.810281336,20.70511627,10.59428024,0.00131414,100,60,0.01,0.01,0.01,0,1.468556046,0.00117672,0.00767402,-44.01981,461.74073,0.76345176,1.3223894
0.929268718,22.07089996,7.459551811,0.00114964,100,60,0.01,0.01,0.01,0,1.825990677,0.00123564,0.010888,-40.136566,292.91249,0.65773433,1.2622508
1.308338881,18.00432396,5.570600986,0.00084491,100,60,0.01,0.01,0.01,0,2.176541567,0.00134307,0.00563437,-34.935928,217.42338,0.5229457,0.92515135
