Point;A2OFRC;B2OFRC;BELTLL1;DABPRES;DABRAD;DUR;DV;EV1;EV2;EV3;FTRIGG;IP2OFRC;KNEEFRC;PDOF_H;PTFORCE;RIMFRC;S2OFRC;SLIPFRC;STWANGLE;STWCOMP;STWTRANS;YAWSF;Risk(45yrs|2ribfx)(%);LOGIT(risk);L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12
274;0.379;0.25;3.16;1.25;330;121;16.4;0.728;0.463;-0.144;9.73;0.352;5.7;-7.41;2.54;4.15;0.238;0.145;24.9;6;-17.6;0.00438;0;-12.37079099;0.267273607;0.476940675;0.589472894;0.463729864;0.3021935;0.204938464;0.168322003;0.179545314;0.274212426;0.286424975;0.287638442;0.17658337;0.197690935;0.123828207;0.151564588;0.154154794;0.275103026;0.416282099;0.476880232;0.365412305;0.195434969;0.199820194;0.12583459;0.196506595
275;0.29;0.217;3.94;1.15;355;99.5;25.1;-0.549;0.735;-0.0365;16.4;0.362;5.04;-16.6;1.57;3.57;0.285;0.2;21.8;4.74;29.1;0.00958;0.03;-8.234757245;0.386440894;0.513674878;0.847980008;0.735062407;0.51337895;0.371814333;0.345150265;0.390751474;0.46139909;0.709340302;0.676946994;0.164158351;0.542849721;0.265083951;0.308719371;0.377495843;0.560663361;0.736043649;0.75164712;0.623352919;0.358874886;0.265863701;0.298308628;0.165428373
276;0.285;0.394;3.31;1.29;298;123;22.3;-0.119;1.58;-0.67;9.2;0.35;8.35;-21.9;1.89;2.92;0.398;0.119;22.2;4.9;19.2;0.0068;0;-10.96753916;0.35637687;0.427471194;0.708190305;0.480791833;0.386175048;0.265555177;0.298792403;0.323193148;0.447075116;0.592702115;0.290175388;0.142192026;0.297357049;0.157864857;0.156355614;0.245358492;0.367376674;0.46636872;0.479366351;0.352341915;0.164119899;0.172520406;0.100219576;0.165586593
277;0.261;0.375;4.09;1.3;352;110;81.3;-0.53;0.117;1.08;11.9;0.308;5.98;-9.78;2.29;2.27;0.274;0.0735;21.6;4.73;6.13;0.00692;63.01;0.532019341;1.105330791;1.677297056;2.561021037;2.170704119;1.399144437;1.552729681;0.621915981;1.038463321;0.941364001;0.698830374;0.269973418;0.518536707;1.926092058;0.496659055;0.587445218;0.66746138;1.004408672;1.788157411;2.269485965;2.495180257;1.448832545;0.519081345;0.25945229;0.445032213
278;0.239;0.396;4.99;1.3;333;84.6;17.7;1.7;-0.694;0.998;47;0.237;6.94;-15.3;1.67;2.26;0.332;0.062;22.3;2.92;2.61;0.00838;0.02;-8.378675503;0.45023337;0.542262569;0.80044372;0.761789596;0.584408129;0.440188451;0.301468302;0.32255;0.388740376;0.497220876;0.448201317;0.244220928;0.665640272;0.333337393;0.492729153;0.568064209;0.653906539;0.664760219;0.694852835;0.653577456;0.426250044;0.233075535;0.195634225;0.180190254
279;0.347;0.302;4.5;1.46;319;132;42.5;0.521;2.54;0.491;29;0.266;16.8;2.96;2.18;4.32;0.244;0.254;25.9;5.35;5.04;0.00262;0.15;-6.504310337;0.35381238;0.738398591;1.101399772;1.20205963;0.697377371;0.485155499;0.369697227;0.4282468;0.386148598;0.319328648;0.294603733;0.248526805;0.638580695;0.401193881;0.577966031;0.615340751;0.623852015;0.721131172;0.774641708;0.775720319;0.622926466;0.299102603;0.259068236;0.207026582
280;0.267;0.305;3.52;1.49;311;126;25.1;1.38;1.6;-0.961;10.7;0.371;6.92;-14.1;2.15;1.7;0.321;0.199;24.9;4.76;16;0.00837;0;-10.58005122;0.330131268;0.447478052;0.74006822;0.499320868;0.412193127;0.291436538;0.249720667;0.298796897;0.488981465;0.53958795;0.242709788;0.159536954;0.308351498;0.171136379;0.208032224;0.351818814;0.465102773;0.555594452;0.508108316;0.342854834;0.172381732;0.214463286;0.11769894;0.181963493
281;0.203;0.327;3.29;1.2;332;135;57.3;-2.05;-0.523;-0.653;5.77;0.233;13.7;-42.1;1.46;2.53;0.239;0.187;25;4.35;-4.11;0.00437;87.04;1.903975822;2.329465374;1.150065381;1.49156237;1.725583151;1.27351759;1.376247872;0.950627122;2.734479494;2.700443007;3.633424267;1.086469833;0.876466651;0.71256035;0.363829266;0.738035748;1.520057302;0.870375056;0.820148084;0.684689824;0.653539645;0.854277518;0.557368854;0.211828854;0.889054965
282;0.254;0.305;4.72;1.38;302;70.7;30.9;-0.637;-1.26;-0.528;97.6;0.316;6.97;-8.27;1.63;1.92;0.222;0.246;24.7;4.22;-9.36;0.00918;59.61;0.388636565;1.843764447;2.294978313;4.286408052;1.312713977;2.274759673;0.644031027;0.41812472;0.423637684;0.44075246;0.385569409;0.258524972;0.426396634;0.986187439;0.697612623;0.562327635;0.64489455;0.74513983;0.499266852;0.424501905;0.506226905;0.418166164;0.244506798;0.200545485;0.485585118
283;0.308;0.205;3.45;1.11;337;113;31.6;-0.143;1.75;0.232;4.76;0.239;6.46;-3.5;1.88;3.5;0.246;0.103;22.5;5.67;-14.3;0.0056;0.04;-7.709733749;0.248652301;0.659874408;0.83830636;0.922449306;0.612548972;0.436831731;0.298409327;0.28048011;0.283241738;0.21349506;0.174670306;0.213764841;0.322528533;0.187019107;0.231071049;0.261718337;0.405530725;0.704114279;0.888357963;0.895245653;0.565166632;0.236305431;0.205827923;0.182154623
284;0.354;0.332;4.45;1.33;306;80.7;13.1;-2.45;-0.248;-0.143;13.7;0.303;13.5;-13.3;2.56;4.85;0.256;0.0452;21.9;3.74;-2.41;0.009;0;-11.44209837;0.327160279;0.49994369;0.635023462;0.54182196;0.336680375;0.241025444;0.191614137;0.22693933;0.33362878;0.336809969;0.328727113;0.184252567;0.289508188;0.148134143;0.193233998;0.273931469;0.359009369;0.427790545;0.51407665;0.452494994;0.243444997;0.209806254;0.245276536;0.194826711
285;0.317;0.346;3.73;1.42;327;99.5;39.4;1.43;-0.516;-0.207;30.9;0.351;10.6;-15.1;1.64;2.66;0.354;0.0487;25.6;5.05;-10.5;0.00581;0.6;-5.102298607;0.6366855;0.649050996;1.121056266;1.275892556;1.184774004;0.689590489;0.406856788;0.424600067;0.476707099;0.404754933;0.916804839;0.744065316;1.088349521;0.447498308;0.583200157;0.646110764;0.718445983;0.796147808;0.853192899;0.829073787;0.636669062;0.317714969;0.2137637;0.212965487
286;0.206;0.26;3.92;1.38;313;117;42.9;-0.226;-0.0354;0.783;20.1;0.318;3.08;-5.44;1.94;2.98;0.221;0.249;25.5;4.42;12.8;0.00635;3.49;-3.320168347;0.446027936;0.698554702;1.641109399;1.212572493;0.720035983;0.608798023;0.346538983;0.362501154;0.430739298;0.394910062;0.223460048;0.273838989;0.689939503;0.37454667;0.470757065;0.541781634;0.770443678;1.462190412;1.651024632;1.436319575;0.92184227;0.340020028;0.241274107;0.224748091
287;0.37;0.396;3.81;1.27;308;95.1;44.7;-1.28;-0.683;0.286;8.83;0.228;11.5;-37;2.48;2.72;0.358;0.222;23.7;6.32;-0.239;0.00457;33.39;-0.690996026;1.497833617;1.530068647;2.47395914;1.193858311;0.796912238;0.988950115;0.768964458;2.008190937;2.184416167;1.874394156;0.727886613;0.422737282;0.676514395;0.390894478;0.607536267;0.852504093;0.92592258;1.000880543;0.88964263;0.733950082;0.482050236;0.407178514;0.214154948;0.731226616
