Point;A2OFRC;B2OFRC;BELTLL1;DABPRES;DABRAD;DUR;DV;EV1;EV2;EV3;FTRIGG;IP2OFRC;KNEEFRC;PDOF_H;PTFORCE;RIMFRC;S2OFRC;SLIPFRC;STWANGLE;STWCOMP;STWTRANS;YAWSF;Risk(45yrs|2ribfx)(%);LOGIT(risk);L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12
423;0.34;0.248;3.66;1.36;343;82.4;56.7;0.884;0.381;-0.166;8.14;0.263;10.4;-29.8;1.62;5.89;0.307;0.183;25;4.94;27.1;0.00821;98.87;4.466793639;1.427422184;0.609800639;1.400254481;1.293938514;1.031000819;1.436163578;1.525853202;2.850697003;3.54850404;4.635632411;2.824660391;1.033458114;1.361645479;0.516163232;0.866970047;1.040619146;0.869079493;0.888471399;0.839512888;1.109799463;0.864106417;0.606712699;0.616217731;1.190151181
424;0.213;0.281;4.72;1.38;335;89.3;33.8;1.88;1.28;0.914;36.2;0.236;6.66;-12.1;2.31;2.59;0.333;0.243;22.2;5.58;7.4;0.00852;2.77;-3.55836729;0.650215754;0.944555551;1.692508347;1.63080506;0.925063994;0.74942736;0.464529591;0.480432902;0.5444529;0.59989104;1.261877455;0.484260637;1.171946898;0.479080575;0.621412881;0.685515534;0.816233922;0.882919133;0.935762469;0.917988084;0.691853464;0.344044832;0.359539501;0.25029378
425;0.274;0.333;3.37;1.32;332;142;16.1;0.89;0.645;0.88;20.2;0.262;19.7;-17.8;1.63;3.95;0.238;0.145;24.5;5.15;-28.4;0.0066;0;-13.60326073;0.212688348;0.335768634;0.538675906;0.34447161;0.287979213;0.195115397;0.186963961;0.225299015;0.367294787;0.39493111;0.15750645;0.127207406;0.254291832;0.129903108;0.124457688;0.144637306;0.253267307;0.334108039;0.341101317;0.267172861;0.144839927;0.177904312;0.096753403;0.139841717
426;0.262;0.206;3.73;1.26;367;107;23.2;0.405;-2.03;0.758;25.8;0.221;7.03;-6.3;2.66;4.23;0.271;0.331;22;4.38;6.66;0.0059;0.03;-7.986345942;0.294928649;0.688492553;0.916937832;0.82318252;0.583433127;0.394942146;0.286711683;0.286288559;0.408323295;0.472939154;0.401097909;0.250995508;0.479468284;0.297979242;0.3908535;0.437822659;0.523980707;0.684203161;0.781287532;0.757754687;0.527152885;0.318466825;0.365872728;0.26676571
427;0.358;0.315;3.27;1.34;340;114;21.3;-1.02;0.0394;-0.204;12.6;0.205;11.8;-18.8;1.06;2.33;0.278;0.339;25.4;4.73;24.5;0.00777;0;-10.17061957;0.336560956;0.404607831;0.660908222;0.541127985;0.412399368;0.307855406;0.270328741;0.338128721;0.437334366;0.605311105;0.659887074;0.152353989;0.480058743;0.215908303;0.34262205;0.422032876;0.43045003;0.525642978;0.485836295;0.369865913;0.172325876;0.193753326;0.20695494;0.103263336
428;0.294;0.343;4.22;1.32;335;89.8;19.9;0.939;-0.671;-1.92;12.5;0.375;9.86;0.329;2.88;3.02;0.286;0.153;22.3;4.34;-23.3;0.0067;0.02;-8.759502009;0.32198471;0.685383752;0.824793149;0.822355784;0.46147001;0.32040861;0.252489094;0.289716548;0.315194111;0.286635011;0.331875333;0.236728718;0.312574836;0.181096245;0.266888528;0.345797371;0.427616388;0.559432199;0.700302655;0.729704043;0.491920859;0.250452175;0.240841764;0.200594007
429;0.258;0.354;3.8;1.37;333;101;55.3;2.23;-0.832;-0.107;52;0.26;14.8;4.2;0.748;2.12;0.31;0.284;25.7;6.16;28.8;0.00393;59.52;0.384905476;2.229794487;1.693822443;1.964538172;2.718549594;1.574864052;1.60160698;0.700586522;0.754940696;0.531367864;0.63327169;1.2938587;1.606582664;1.865630411;0.629399437;0.755443517;0.782396365;0.827974919;0.987001974;1.740090549;1.985974796;1.719083823;0.715486193;0.464658067;0.391146448
430;0.274;0.289;3.57;1.35;316;112;26.5;-0.175;-0.274;-0.534;41.9;0.397;7.29;1.51;2.35;2.43;0.376;0.0923;22.2;5.76;-19.8;0.00389;0.11;-6.789922441;0.355865923;0.683354819;1.009550877;1.154938154;0.663218321;0.551110925;0.378990173;0.385720865;0.372745306;0.362784811;0.274827727;0.29164704;0.562884985;0.373645546;0.534166256;0.582480431;0.650494359;0.677080639;0.79625072;0.821134448;0.677825185;0.257568108;0.230065337;0.197190372
431;0.396;0.244;4.46;1.33;323;116;14.6;0.683;0.303;-0.606;21.5;0.389;6.56;-19.3;1.35;3.25;0.393;0.271;21.5;4.51;21.5;0.00687;0;-12.91081992;0.242782873;0.334759057;0.495354319;0.382895651;0.294677471;0.227923831;0.245478423;0.263918564;0.414721761;0.467226002;0.278379675;0.11439051;0.342336344;0.141136162;0.22132881;0.348515785;0.345267425;0.355533883;0.34076469;0.263921078;0.148701994;0.185200735;0.087609125;0.134595286
432;0.326;0.392;5.06;1.56;332;107;20.9;-0.474;1.25;-0.41;17.8;0.282;4;-15.7;2.24;2.9;0.312;0.197;23.9;4.45;20.6;0.00704;0;-9.909728018;0.299807219;0.484380499;0.634891586;0.632228842;0.506537035;0.325177819;0.294676726;0.332357059;0.464964565;0.589019945;0.435916148;0.153253064;0.485733012;0.244283699;0.506503927;0.580011494;0.571481744;0.482509891;0.438130694;0.384653336;0.183368847;0.219343277;0.22812027;0.207485817
433;0.382;0.323;4.62;1.45;321;120;44.2;-0.97;-0.44;0.675;12.2;0.307;4.87;-28.2;1.74;2.19;0.24;0.224;25.8;4.01;-15.2;0.00616;4.88;-2.971351497;1.783848368;0.671810051;1.5396256;1.046786737;0.678428169;0.638344884;0.750343455;1.166343596;1.689108089;0.993329845;0.672050519;0.373444823;0.720977224;0.384191331;0.771669811;0.848086178;1.069226861;0.950906146;0.961684901;0.802672282;0.479850452;0.331836077;0.228533638;0.337356632
434;0.204;0.322;4.06;1.43;333;118;36.3;2.76;1.17;1.3;35.7;0.217;13.8;-24.2;2.42;1.87;0.264;0.207;24.4;4.6;-1.67;0.00947;0.46;-5.376307067;1.067249663;0.529137254;1.247705147;0.748150004;0.595144043;0.507123908;0.492374087;0.954933371;1.275961567;0.759673817;0.758604985;0.352470484;0.784748327;0.283624674;0.52540726;0.736255338;0.746877026;0.722077489;0.666724704;0.533514097;0.368736428;0.267269369;0.122238102;0.237459806
435;0.227;0.321;3.71;1.3;357;125;28.3;-1.16;0.459;0.427;59.9;0.222;3.14;8.49;1.2;3.04;0.241;0.17;21.7;5.04;-7.13;0.00628;0.08;-7.133264991;0.844958611;0.557524757;0.833401456;1.005171239;0.674940413;0.585029833;0.356063503;0.366933062;0.394772831;0.421466911;0.307086227;0.281135691;0.662382273;0.385879166;0.453261519;0.577371754;0.652349647;0.683402084;0.782687962;0.8100776;0.664948113;0.304262806;0.188033329;0.233313232
436;0.227;0.318;4.6;1.19;285;131;29.4;2.31;-1.01;-0.693;40.9;0.321;5.97;-1.95;1.96;2.92;0.353;0.117;25.3;3.38;-27;0.00716;1.05;-4.542380768;0.328141358;0.819079299;1.500621904;1.471937541;0.651161699;0.460494077;0.347129046;0.363225839;0.395779079;0.286472496;0.148889178;0.236978708;0.357735506;0.244754623;0.274570705;0.310994172;0.456864387;0.733241998;1.136516873;1.23612443;0.877748337;0.355355185;0.170583103;0.185313995
437;0.273;0.273;4.08;1.36;329;127;11.1;0.0824;0.149;0.717;2.17;0.394;14.7;-18.4;2.47;2.34;0.299;0.162;25.8;5.29;4.09;0.00835;0;-14.72040134;0.190797471;0.362947863;0.483645964;0.357880979;0.242634397;0.173899275;0.142264215;0.173702661;0.263388106;0.267783436;0.221183151;0.122651912;0.18868387;0.106854283;0.110750902;0.137056783;0.174917863;0.242990954;0.281763007;0.203447789;0.146142137;0.222334149;0.132921862;0.176296325
438;0.303;0.322;4.15;1.16;327;108;23.5;-1.59;-0.145;0.293;24.7;0.278;8.86;-1.99;1.2;2.87;0.361;0.235;24.1;5.13;-7.4;0.00453;0.04;-7.932657903;0.316437869;0.633012317;0.966636557;0.921751559;0.554715237;0.394915789;0.309290714;0.357710826;0.374336424;0.244837045;0.191751344;0.247499766;0.454637688;0.246352516;0.32597871;0.362661085;0.47152224;0.618017092;0.783273857;0.748616597;0.551198097;0.240821345;0.180645264;0.120974646
439;0.242;0.253;4.89;1.16;309;104;38.5;-2.08;-1.48;0.812;20;0.301;7.28;-37.3;1.62;4.03;0.325;0.279;21.5;4.08;-5.6;0.00602;38.33;-0.476098073;1.866429858;1.252347697;2.299353108;1.32580176;0.779727241;0.937998109;0.751405349;1.905046962;2.525554225;1.624969952;0.746898819;0.456122961;0.749536371;0.449866429;0.906357821;1.176705025;1.33507289;1.31234983;1.016804203;0.766580924;0.589349912;0.466860086;0.293444423;0.797555596
440;0.232;0.368;3.53;1.33;316;109;24.1;1.05;0.675;1.13;45.8;0.344;9.47;-39;2.05;3.3;0.217;0.277;23.3;5.4;3.11;0.00624;0.43;-5.434947873;0.822837465;0.500038732;0.737187173;0.666552596;0.51935981;0.50667203;0.446145236;0.796301011;1.774390042;1.018073596;0.47470876;0.302424002;0.624543941;0.271625421;0.453868089;0.568823097;0.609813817;0.631620316;0.559390802;0.442460552;0.341168232;0.28501635;0.201212452;0.264139753
441;0.208;0.236;3.31;1.06;366;99.2;40.9;-0.509;-0.393;1.87;47.1;0.332;9.97;-3.31;2.09;1.93;0.223;0.216;22;3.93;-22;0.00807;0.68;-4.978990995;0.687913643;0.573339174;0.87005375;0.762843713;0.71650343;0.659422437;0.405882346;0.464731408;0.446523773;0.437378371;0.245683407;0.383612094;0.867810939;0.408490188;0.467105722;0.627834117;0.817524362;0.980227627;1.513981633;1.321821194;0.818346068;0.296606612;0.157309929;0.271157827
442;0.398;0.343;3.75;1.19;314;121;35.7;-0.657;1.55;0.613;17.6;0.288;9.17;-8.17;1.8;1.38;0.316;0.121;23;4.72;-3.46;0.00885;0.04;-7.738329869;0.314791035;0.589242345;0.96845571;0.897523295;0.549164368;0.398341427;0.305684889;0.299257389;0.322971842;0.294282311;0.229468406;0.254945387;0.442956947;0.246019708;0.322838337;0.392974587;0.500317756;0.761521189;0.827454496;0.794718508;0.551642664;0.2199949;0.180219486;0.181009958
443;0.295;0.219;4.74;1.35;337;118;25;-1.91;-1.54;0.402;11.6;0.381;7.27;3.87;2.31;3.83;0.351;0.307;22.3;3.51;14.8;0.00533;0.03;-8.134581489;0.289818598;0.692266366;0.901358016;0.876539387;0.567380106;0.359617826;0.305618672;0.313121942;0.352264894;0.24259286;0.30015863;0.212955475;0.368264108;0.211260165;0.368018518;0.439686282;0.461907219;0.587438792;0.759676425;0.761793181;0.584662845;0.284946966;0.238540675;0.244910433
444;0.339;0.387;4.5;1.52;308;92.1;47.5;-1.62;1.02;0.176;30.7;0.386;16.8;-21.7;2.08;2.42;0.374;0.171;23.4;4.21;-8.94;0.000767;20.2;-1.37435966;2.435984276;0.684113335;1.496833749;1.436313055;1.440841332;0.826474838;0.678805681;1.220314763;1.904379018;1.595725678;0.777515536;0.441186037;1.044687908;0.497585861;0.776421139;1.02641033;1.131577604;1.07803056;0.905749109;0.85726101;0.740092248;0.52524549;0.236367853;0.545592839
445;0.268;0.29;4.36;1.38;325;79;11.3;-0.375;1.18;-1.38;12.4;0.382;9.2;-3.13;1.31;3.32;0.37;0.129;22.1;3.68;20.7;0.00428;0;-12.98036274;0.191424077;0.39565051;0.497591868;0.435259705;0.361910812;0.246716873;0.16415345;0.154546101;0.163303583;0.212690094;0.32979825;0.149695342;0.336039462;0.144492509;0.265643164;0.396740623;0.397774111;0.373891322;0.341668865;0.301876781;0.157459092;0.164036197;0.147594849;0.114635809
446;0.359;0.291;3.98;1.49;321;122;31.6;-2.5;0.336;-1.2;60.7;0.232;5.25;-8.42;3.05;3.13;0.233;0.144;22.1;5.23;4.5;0.00829;87.93;1.985348665;2.931192704;4.006138816;2.639939077;2.305978537;1.570572145;0.747281546;0.521870656;0.508232461;0.608350849;0.719597703;0.510332314;0.422992464;1.263442263;0.553051755;0.666548964;0.812318642;0.810629036;0.682662241;0.531539926;0.593884522;0.277581275;0.364912953;0.242108363;0.254734023
447;0.211;0.23;3.3;1.21;310;120;29;0.215;-0.0325;-1.01;41.8;0.374;9.69;-16;2.06;3.1;0.23;0.334;25.3;6.56;-14.9;0.00702;0.04;-7.868644161;0.553229684;0.503205601;0.81404103;0.779230893;0.567232398;0.467573106;0.349956402;0.339716068;0.363897928;0.521513633;0.851422455;0.227072975;0.637819758;0.312630273;0.419593509;0.469546625;0.621081656;0.741903344;0.743417442;0.679406989;0.419460051;0.307240826;0.129645073;0.190515525
448;0.361;0.299;3.81;1.24;328;137;35.1;-0.674;-0.96;0.735;37.3;0.347;11.1;-2.5;2.41;2.38;0.342;0.203;24.8;5.41;25.9;0.00756;0.25;-5.973907035;0.374384318;0.702148164;1.265098434;1.31436903;0.653007813;0.512298336;0.36448068;0.408283714;0.405486906;0.297803618;0.184349332;0.236289832;0.617318368;0.332781742;0.447484199;0.484203827;0.587289128;0.684263511;0.850937422;0.825968478;0.665834732;0.270616286;0.211303961;0.2164501
449;0.205;0.232;4.21;1.43;339;92.9;35.7;-0.753;0.406;0.485;14.4;0.277;7.89;-10.2;1.22;2.85;0.384;0.255;22.8;3.35;3.04;0.00774;0.33;-5.708592909;0.459342822;0.665929494;1.400955301;1.112533733;0.752594369;0.595208677;0.395573629;0.423311302;0.468067871;0.618316559;0.635984726;0.333075412;0.817495026;0.414995709;0.56834342;0.63215117;0.723635871;0.823340192;0.84285792;0.793323759;0.595082249;0.326726539;0.314364699;0.167795829
450;0.398;0.349;3.28;1.31;322;107;23;2.93;0.177;0.697;12.7;0.204;12.7;-15.5;2.1;1.9;0.29;0.179;23;5.7;-0.152;0.00728;0.01;-9.265473267;0.323365768;0.528882118;0.75540063;0.675783539;0.469614659;0.331017352;0.265706819;0.282919616;0.444783224;0.649381895;0.381455128;0.163927861;0.34530987;0.196790765;0.218072045;0.253771618;0.393246347;0.615767855;0.720133912;0.625056447;0.362065318;0.206693634;0.113413983;0.177142024
451;0.245;0.25;4.82;1.44;316;106;30.6;-1.53;-0.0759;0.0367;9.85;0.289;7.17;9.73;2.43;2.55;0.251;0.172;24.6;4.66;-2.66;0.00359;2.08;-3.851786562;0.31230764;0.861208886;1.34613337;1.981682889;0.808949862;0.467894506;0.338925631;0.363877299;0.354243605;0.254138885;0.209610397;0.22397947;0.341463624;0.250467192;0.422608666;0.452082092;0.509851379;0.700307405;0.938660465;1.309371181;0.990586821;0.44730776;0.509265577;0.228641299
452;0.201;0.315;4.53;1.25;349;133;24.8;1;0.0681;-0.0856;3.37;0.289;7.83;-29.9;1.42;2.57;0.282;0.317;25.5;4.59;5.91;0.00645;0.02;-8.661303688;0.540535571;0.456325943;0.931739714;0.618057046;0.495096715;0.362055888;0.350759667;0.428559911;0.529654417;0.720170327;0.706538418;0.164393592;0.394296693;0.225822255;0.244550128;0.422364846;0.517679332;0.612629158;0.544619048;0.387317268;0.177704997;0.187666307;0.130523753;0.106062996
453;0.239;0.364;3.77;1.21;348;116;47.2;0.531;-0.044;-0.0541;23.7;0.247;11.2;6.02;1.45;1.69;0.275;0.166;21.7;4.68;28;0.00935;3.49;-3.321693002;0.41545867;0.758496346;1.584329642;1.762683317;0.79647284;0.55648149;0.39612106;0.445674313;0.462673558;0.349201052;0.215781364;0.255539338;0.735789863;0.372554036;0.429217191;0.493437517;0.589678762;0.788516644;1.310397685;1.579552516;1.055172924;0.467475597;0.277341017;0.247137295
454;0.368;0.204;3.95;1.35;306;90.1;23.9;-3.98;-0.143;-0.199;18.4;0.389;16.5;-18.5;1.63;2.58;0.32;0.217;24.5;5.13;-6.29;0.00455;0.07;-7.238404481;0.47171833;0.5843163;0.983739737;0.829074439;0.609102147;0.481548812;0.355287502;0.342784519;0.413322868;0.568801118;0.822726078;0.293095573;0.600577239;0.307693193;0.501723168;0.583849195;0.625623856;0.759964716;0.821366254;0.77890493;0.523158209;0.261283619;0.22837983;0.227702572
455;0.276;0.392;3.76;1.29;341;115;38.6;0.357;1.76;-0.253;12.8;0.247;14.6;-8.09;2.26;1.45;0.259;0.172;23.3;4.1;22.4;0.00525;0.03;-8.067013206;0.380931003;0.646845065;0.887350366;0.820905715;0.620872993;0.394456554;0.296763028;0.30214584;0.436062319;0.486969575;0.283425907;0.183965964;0.568433106;0.284979749;0.404852256;0.464374479;0.587968994;0.768753374;0.75018811;0.658437936;0.465492671;0.247429893;0.188582216;0.16902053
456;0.241;0.256;3.71;1.26;313;110;33.6;0.212;1.34;0.0111;16;0.242;7.55;-15;1.94;3.79;0.206;0.137;24.8;4.89;8.33;0.00656;0.04;-7.811553107;0.445103319;0.550564891;0.871915277;0.783051364;0.514779752;0.423837733;0.313663017;0.356472982;0.440173736;0.704319123;0.591623178;0.212919177;0.468601007;0.246487907;0.326043344;0.511847297;0.626973482;0.784051418;0.834441278;0.736891292;0.462809484;0.234486489;0.145694648;0.180131593
457;0.344;0.327;4.03;1.34;337;112;15.1;0.632;-0.302;1.02;25.2;0.366;11.3;3.31;2.4;2.68;0.265;0.15;22.1;4.35;21.3;0.00702;0;-12.34795645;0.277592312;0.446110219;0.547254179;0.496589486;0.394166214;0.262485561;0.181245594;0.162665243;0.163926615;0.278167333;0.243375497;0.13567768;0.319448858;0.160695985;0.288705644;0.394816604;0.399349071;0.381588982;0.384807005;0.339171779;0.215236843;0.219397247;0.134267821;0.208616769
458;0.346;0.325;3.94;1.31;352;75.1;30.8;-0.0252;-3.37;-0.162;13.5;0.223;7.51;-4.51;1.93;2.71;0.264;0.0116;21.3;6.25;8.03;0.0102;1.07;-4.52935057;0.377742364;0.733859558;1.473178901;1.42314462;0.813223887;0.711077033;0.431835931;0.385333458;0.439855456;0.52344026;0.356624043;0.370225566;0.774380984;0.448353402;0.524243247;0.639797095;0.758590037;0.797498412;0.954965968;1.276123989;0.881084055;0.433275895;0.346410088;0.260615232
459;0.201;0.371;4.11;1.09;363;99.3;41;3.28;0.684;1.18;29.8;0.29;8.09;-33.5;1.54;2.1;0.301;0.169;24.6;5.21;-28.9;0.00636;44.92;-0.204331905;1.640509069;1.390946191;2.283960767;1.208427269;0.752115762;1.000845991;0.703815278;2.016573772;2.624904364;2.149601281;0.923002046;0.527008949;0.662477082;0.331738289;0.731645525;1.16878124;1.050827652;1.126147341;1.056719478;0.820092391;0.641682558;0.438366085;0.250980561;0.813461002
460;0.393;0.392;3.26;1.23;334;125;44.8;-0.621;1.24;1.4;16.9;0.378;12.3;0.818;1.92;2.34;0.28;0.131;25.9;6.48;1.2;0.00483;0.62;-5.073732898;0.27907528;0.684735086;0.965499226;1.724321581;0.588680757;0.436398806;0.320702558;0.336806593;0.351684331;0.267883996;0.14912996;0.237594056;0.505699962;0.313628139;0.376560166;0.434076972;0.511005986;0.785379205;1.096258685;1.101240609;0.710373791;0.262165652;0.218596007;0.196482404
461;0.374;0.374;3.64;1.24;357;145;51.8;0.0996;0.773;0.234;20.1;0.261;8.79;-27.2;2.45;1.58;0.278;0.131;21.8;4.94;-1.39;0.00751;4.36;-3.089785147;1.709756628;0.586396968;1.683685556;0.738699408;0.607075728;0.585507136;0.660199905;1.29498262;1.742924936;0.909700897;0.552018033;0.287677441;0.703052524;0.289721624;0.594230555;0.69744694;0.699048629;0.735416589;0.705368863;0.633971114;0.434847921;0.309009384;0.148851855;0.333497697
462;0.203;0.325;2.55;1.18;322;103;28.6;0.938;-1.73;-0.106;47.6;0.285;5.65;-10;2.5;2.1;0.389;0.185;22.4;5.56;-14.6;0.00685;0.04;-7.826338133;0.450604828;0.52187969;0.795950647;0.888951961;0.607843744;0.582821341;0.367085985;0.367100933;0.353867002;0.35686756;0.267039635;0.383771979;0.641314825;0.348576857;0.431389548;0.496296212;0.609925715;0.721006701;0.808846857;0.789042935;0.561670819;0.275816675;0.1811984;0.210187607
463;0.348;0.217;3.84;1.19;339;121;20.7;-1.94;0.259;-0.0806;22.7;0.359;8.31;-19.8;1.05;3.38;0.36;0.265;24.3;4.78;-6.04;0.0036;0;-10.05052833;0.373884453;0.43606055;0.719405431;0.597255956;0.424987264;0.321458117;0.256012124;0.300095556;0.385330175;0.623418484;0.464754365;0.13596199;0.448278151;0.225087977;0.298074167;0.33898144;0.430156011;0.560355792;0.569783384;0.478482945;0.239854213;0.200488418;0.134702795;0.119535637
464;0.313;0.37;4.45;1.35;342;104;48.3;-0.702;1.19;0.178;10.7;0.362;14.9;3.84;2.46;3.64;0.34;0.221;25.5;2.61;7.48;0.00504;5.49;-2.846847049;0.381855527;0.876435358;1.728195138;1.726546511;0.869427249;0.553153222;0.401678029;0.445165345;0.476940814;0.354870432;0.180300535;0.283218338;0.683603762;0.393438945;0.496674608;0.563407503;0.635295454;0.92166923;1.589587703;1.622663252;1.119294856;0.48101237;0.283017149;0.256633456
465;0.21;0.379;3.78;1.16;352;104;32.9;-0.131;0.0586;-0.173;7.13;0.258;15.8;6.76;1.72;1.89;0.211;0.0966;22.4;4.87;-2.38;0.00841;0.19;-6.285032397;0.300208805;0.728795817;0.942923035;1.39636742;0.562153105;0.405629817;0.302095152;0.346579868;0.365177984;0.246152119;0.202746037;0.218542316;0.342728174;0.202678074;0.246443693;0.331481709;0.444447156;0.623701699;0.838699006;1.024648268;0.702829799;0.315130199;0.243250164;0.188163517
466;0.277;0.3;4.38;1.47;312;117;29.8;-2.19;1.03;-0.29;24.8;0.212;7.84;4.51;1.94;3.51;0.28;0.262;22.3;3.37;0.998;0.00773;0.23;-6.072571581;0.357547658;0.759823294;1.263835747;1.216391381;0.697845267;0.548900943;0.376387197;0.41384967;0.395619776;0.332847983;0.255686068;0.263414253;0.552972546;0.362305157;0.55328845;0.635334989;0.654580537;0.696538761;0.816380419;0.835657027;0.672226725;0.304908608;0.233726925;0.204863469
467;0.348;0.353;4.49;1.3;338;114;17.6;0.201;0.973;-0.375;11.1;0.34;4.81;-25.5;1.68;2.28;0.334;0.205;22.8;4.14;7.53;0.00761;0;-11.43274873;0.339325471;0.381756225;0.631834706;0.437331712;0.360984774;0.274271332;0.314883958;0.358500541;0.478829863;0.602301769;0.34873751;0.120837882;0.33803524;0.166194781;0.183972553;0.311784819;0.318537815;0.422684802;0.376445171;0.269454462;0.155482057;0.185852963;0.147382333;0.158917333
469;0.246;0.397;5.18;1.12;372;109;14;-2.23;0.551;0.0411;44;0.209;9.32;-18.4;2.32;4.26;0.219;0.178;21.2;4.12;10.7;0.00796;0;-11.1371577;0.340976054;0.380792632;0.648585567;0.530368323;0.389754586;0.28477998;0.220258906;0.236156839;0.328495633;0.516133755;0.356237078;0.167026569;0.438304385;0.220402749;0.278041977;0.312722917;0.407185359;0.459830509;0.49351682;0.43285396;0.212323666;0.226313202;0.099077797;0.216269423
470;0.276;0.249;3.65;1.3;356;127;19.4;0.337;0.512;0.631;58.6;0.267;16.3;-27.4;2.3;3.21;0.217;0.257;25.5;4.95;-16;0.00722;0.01;-8.881337668;0.521379476;0.406193081;0.674488954;0.639919145;0.605989853;0.378006813;0.250324304;0.245193904;0.445314636;0.414444553;0.856858399;0.443038344;0.667660451;0.326526747;0.470949337;0.516027166;0.561809586;0.536962086;0.493936148;0.438659824;0.204503443;0.241453247;0.102512341;0.188208884
471;0.269;0.263;3.35;1.38;312;105;24.7;0.142;0.377;-0.386;10.6;0.224;11;6.23;2.18;3.61;0.302;0.189;23.2;3.84;-7.03;0.00622;0.01;-8.914505117;0.276470021;0.648373459;0.753207179;0.814838056;0.464154687;0.40209936;0.258812029;0.287015969;0.294006336;0.20345212;0.181013998;0.195063278;0.276111299;0.165314856;0.224355655;0.274241692;0.360173592;0.56022224;0.719458424;0.760215428;0.522238621;0.225799088;0.252840342;0.173510483
472;0.368;0.251;2.09;1.25;340;115;23.2;-1.87;0.475;0.141;63.7;0.236;9.9;-4.18;2.28;1.44;0.383;0.309;22.7;6.43;0.0295;0.00558;0.01;-9.087426374;0.986453332;0.339166098;0.510393037;0.582259987;0.528803049;0.472686486;0.235440093;0.2832497;0.320793432;0.258450559;0.152264477;0.28138042;0.674416125;0.379289617;0.393619481;0.474960404;0.539176958;0.464576855;0.522875693;0.447611511;0.303482171;0.217034388;0.095049117;0.275048497
473;0.261;0.367;4.18;1.41;346;89.9;48.7;-2.14;-0.69;-0.22;14.8;0.252;8.93;-1.72;2.21;2.08;0.265;0.164;21.1;4.79;-9.76;0.00685;11.18;-2.073031022;0.508434046;0.809354801;1.912612468;1.880139485;0.919467304;0.907796249;0.501062209;0.475898338;0.530938059;0.480431644;0.314637483;0.44606193;1.158382185;0.569959171;0.671820994;0.758419745;0.880855042;0.959260017;1.529121865;1.860566437;1.331108715;0.529502565;0.534319319;0.252864952
474;0.266;0.364;4.03;1.4;332;123;19.2;-0.512;0.904;-0.647;9.24;0.23;7.62;-3.67;2.27;2.56;0.315;0.092;24.1;5.56;-27.8;0.00578;0;-12.67957849;0.262894342;0.443956722;0.577265024;0.463802461;0.298657455;0.200463203;0.188683835;0.198367215;0.208991533;0.207834458;0.252134423;0.160562142;0.27867523;0.127594708;0.183571666;0.28457311;0.330136647;0.381574803;0.426932797;0.351855671;0.191091013;0.171808025;0.134635821;0.171564706
475;0.386;0.295;2.71;1.32;358;106;45.2;0.231;-1.43;0.772;9.96;0.332;11.1;-7.89;2.74;4.86;0.359;0.15;22;5.39;-1.6;0.0072;1.84;-3.978811998;0.604093214;0.655569742;1.862327196;1.202655956;0.720601063;0.733425561;0.41449694;0.404228037;0.43442687;0.393221015;0.316819013;0.335667422;0.872908719;0.337556656;0.426401058;0.480082538;0.637709396;0.922035147;1.2955199;1.242993865;0.698459754;0.29825985;0.205982313;0.188821391
476;0.203;0.379;3.03;1.39;334;96.9;46.1;-0.923;-0.0948;0.213;11.8;0.363;9.66;9.8;2.04;1.54;0.369;0.302;23.4;4.45;-9.6;0.00609;4.27;-3.110838322;0.589382043;0.78804018;1.30866766;1.756328158;0.909588952;0.663467683;0.401652465;0.434379419;0.482962979;0.378279644;0.251338305;0.276671839;0.704418821;0.423849747;0.513578393;0.579637382;0.625384878;0.721339462;1.20258918;1.793563738;1.432306226;0.587553112;0.30924587;0.32284928
477;0.367;0.262;3.2;1.38;344;126;19.6;-0.275;-0.344;-0.899;7.9;0.249;11.8;6.62;2.03;3.38;0.265;0.236;24.9;6.16;4.75;0.00502;0;-12.06117464;0.242432184;0.485320576;0.567242131;0.525793107;0.326941744;0.263290154;0.197355403;0.207832293;0.221138913;0.178018969;0.243921089;0.166114967;0.269443728;0.131480023;0.227418193;0.331201707;0.319600268;0.405151257;0.491181202;0.424725423;0.248417724;0.201817881;0.171922077;0.165606185
478;0.376;0.387;4.78;1.42;345;95;29.6;-2.86;-0.944;0.99;49.9;0.353;14.9;5.03;1.18;3.07;0.394;0.202;23.5;3.47;-20.7;0.00536;0.05;-7.692482914;0.907413941;0.49889232;0.64168456;0.696786074;0.631238008;0.642669573;0.355496746;0.416722381;0.376724568;0.308738812;0.336947595;0.526530296;0.9067256;0.47067008;0.525893923;0.57167341;0.638337806;0.530091347;0.672864728;0.697200699;0.515450863;0.303206872;0.191143481;0.304373913
479;0.292;0.219;3.12;1.49;338;96.5;32.1;2.43;1.45;0.536;33.1;0.296;9.81;-29;2.08;2;0.244;0.0777;24.3;5.76;6.06;0.0044;1.24;-4.380020363;1.102133933;0.535855908;1.222516317;0.799276307;0.650787307;0.541442074;0.560781127;1.121051703;1.669639908;1.000144146;0.576009974;0.336693064;1.041396428;0.38080886;0.581646664;0.642111804;0.69893836;0.651716068;0.599006936;0.550291268;0.402178895;0.347710331;0.234503718;0.566065451
